caused,,breath,breath,heart,heart,eeg_amp_o1,eeg_amp_o1
causing,,heart,eeg_amp_o1,breath,eeg_amp_o1,breath,heart
timescale,sleepstage,,,,,,
1,LS,0.015453958362648608,0.005419625301910149,0.026696990824300434,0.023680716044467177,0.006265039882416524,0.012377976841189561
1,DS,0.01479009506924215,0.00046788515365245634,0.025201564203972487,0.006035861913627335,0.0021399571147974906,0.003922364996506881
1,REM,0.007745082293510512,0.00932487915066185,0.013217117989570292,0.02217790355780054,0.0053515519719845445,0.013847067028395872
2,LS,0.014111317541714753,0.009143569045035561,0.03180980568113269,0.04009747611818756,0.008966211560415223,0.017030781439646658
2,DS,0.011164633318994338,0.0013622644001420067,0.029881070139193642,0.011251423937513294,0.002612651811749945,0.00728192361785775
2,REM,0.005064972300277086,0.011119449035333807,0.016860947960369146,0.04120160708288216,0.006884551503789466,0.01739097903030428
5,LS,0.01708009481605497,0.01424013053687827,0.01959650409917098,0.048833379708317075,0.008825424509162638,0.015879516350111096
5,DS,0.0053681067208148255,-0.0023925465908719427,0.012220298050341865,0.015840132644599856,0.006305926545396393,0.009886200734200622
5,REM,0.007175239988698843,0.019284764991277736,0.023200761104814456,0.05070290917417146,0.008349961860640112,0.011752917890997269
10,LS,0.01674225852710342,0.018662600852286968,0.02536163486515236,0.06395852599133318,0.012825590639133305,0.018551855754168695
10,DS,0.00407575847488495,-0.0031273730388992373,0.0024064261836274563,0.018865110728960507,0.00455175042972677,0.014900951019414754
10,REM,0.010099308144433309,0.025705501510182742,0.032136947765948484,0.05427740317135375,0.005125803922794808,0.010704328815230665
15,LS,0.02457966743097779,0.023561937550282144,0.025144479770122147,0.06567310103741711,0.012643129778644315,0.022010765840131653
15,DS,0.0022801263347696174,-0.0021748703238624353,0.003896541158434042,0.018987547610241184,0.011043254241779748,0.015285735956317777
15,REM,0.0198467703272211,0.02522762135724426,0.0495003482910742,0.05018042180564198,0.003762181497806333,0.013922178576487757
